,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,Salary5,TPG,Team,USG,Year,pct_from_3
146,0.6,0.7,2,0.462,0.0,73,7-0,16.9,0.2,4.5,Rasho Nesterovic,C,3.9,1123560,6160000,0.8,MIN,14.8,2001,0.003
147,2.6,0.5,8,0.43700000000000006,0.391,75,6-4,28.3,0.5,10.5,Anthony Peeler,SG,2.6,2740000,1600000,1.4,MIN,18.6,2001,0.35
148,3.2,0.5,1,0.526,0.33799999999999997,82,6-7,34.8,1.6,14.0,Wally Szczerbiak,SF,5.5,2162280,9000000,1.7,MIN,18.2,2001,0.084
149,2.3,0.8,4,0.517,0.271,82,6-6,29.2,1.0,8.7,Shandon Anderson,SG,4.1,2200000,7300000,1.6,HOU,15.4,2001,0.28800000000000003
150,0.3,0.8,3,0.5770000000000001,0.40399999999999997,35,6-11,17.8,0.5,4.7,Kelvin Cato,C,4.0,5330000,7992000,0.7,HOU,11.9,2001,0.0
151,6.5,0.8,1,0.47200000000000003,0.396,80,6-3,39.9,5.8,19.9,Steve Francis,PG,6.9,3246960,12330000,3.3,HOU,24.2,2001,0.276
152,0.1,,R,0.37799999999999995,0.0,33,6-11,7.3,3.8,2.7,Dan Langhi,SF,1.2,316969,72843,0.2,HOU,22.9,2001,0.01
153,2.5,0.8,2,0.45399999999999996,0.35700000000000004,79,6-4,38.0,1.9,19.5,Cuttino Mobley,SG,5.0,3920000,5884500,2.1,HOU,24.3,2001,0.20800000000000002
154,3.5,2.2,3,0.491,0.281,82,6-1,20.2,1.0,6.6,Moochie Norris,PG,2.4,523500,3850000,1.3,HOU,16.8,2001,0.215
155,1.5,0.4,3,0.49200000000000005,0.0,69,6-9,28.6,1.0,13.0,Maurice Taylor,SF,5.5,2250000,9100000,1.8,HOU,23.2,2001,0.005
156,1.0,0.4,1,0.485,0.272,74,6-7,24.6,1.0,7.1,Kenny Thomas,PF,5.6,885120,6000000,1.6,HOU,16.1,2001,0.198
157,0.5,0.7,1,0.5710000000000001,0.364,57,6-7,12.2,0.2,3.4,Ryan Bowen,SF,2.0,510000,807046,0.4,DEN,12.0,2001,0.076
158,1.0,0.1,7,0.33299999999999996,0.387,9,6-7,17.0,,2.3,Calbert Cheaney,SG,2.2,2200000,1600000,0.6,DEN,10.5,2001,0.0
159,1.4,1.8,2,0.499,0.36700000000000005,78,6-11,31.5,0.2,12.9,Raef LaFrentz,C,7.8,2970840,9714538,1.2,DEN,18.6,2001,0.171
